founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders
'Stuart Johnstone'],28075,Stralis Aircraft,W23,Active,"['Hard Tech', 'Hydrogen Energy', 'Airplanes', 'Climate', 'Electric Vehicles']","Brisbane, Australia",https://stralis.aero/,https://www.linkedin.com/company/stralis-aircraft/,Emission free hydrogen electric aircraft,2
['Wally Gurzynski',28078,Turntable,W23,Active,[],New York,https://www.turntable.so,https://www.linkedin.com/company/turntabledata,AI-native operating system for analytics teams,3
'Justin Leder',28078,Turntable,W23,Active,[],New York,https://www.turntable.so,https://www.linkedin.com/company/turntabledata,AI-native operating system for analytics teams,3
'Ian Tracey'],28078,Turntable,W23,Active,[],New York,https://www.turntable.so,https://www.linkedin.com/company/turntabledata,AI-native operating system for analytics teams,3
['Tal Borenstein',28074,Keep,W23,Active,"['SaaS', 'B2B', 'Open Source', 'Monitoring']",San Francisco,https://www.keephq.dev,https://www.linkedin.com/company/keepalerting,Open-source alert management for software developers.,2
'Shahar Glazner'],28074,Keep,W23,Active,"['SaaS', 'B2B', 'Open Source', 'Monitoring']",San Francisco,https://www.keephq.dev,https://www.linkedin.com/company/keepalerting,Open-source alert management for software developers.,2
['Eric Yáñez',28072,Holacasa,W23,Active,"['Fintech', 'SaaS', 'B2B', 'Proptech']","Mexico City, Mexico",https://www.holacasa.mx/,https://www.linkedin.com/company/holacasamx/,End-to-end mortgage solution for Real Estate homebuyer's in LatAm,2
'Juan Carlos (Jc) Garza Rodriguez'],28072,Holacasa,W23,Active,"['Fintech', 'SaaS', 'B2B', 'Proptech']","Mexico City, Mexico",https://www.holacasa.mx/,https://www.linkedin.com/company/holacasamx/,End-to-end mortgage solution for Real Estate homebuyer's in LatAm,2
['Hammad Syed',28073,PlayHT,W23,Active,['Generative AI'],Mountain View,https://play.ht/,https://www.linkedin.com/company/play-ht/,Generate or clone voices and turn any text into human-like speech.,2
'Mahmoud Felfel'],28073,PlayHT,W23,Active,['Generative AI'],Mountain View,https://play.ht/,https://www.linkedin.com/company/play-ht/,Generate or clone voices and turn any text into human-like speech.,2
['Eshan Agarwal',28071,Planar,W23,Active,"['Developer Tools', 'SaaS', 'Productivity', 'AI']",New York,https://www.useplanar.com,,Superhuman for code review,2
'Viraj Rai'],28071,Planar,W23,Active,"['Developer Tools', 'SaaS', 'Productivity', 'AI']",New York,https://www.useplanar.com,,Superhuman for code review,2
['Andres Recalde',28048,Muffin Data,W23,Active,[],,http://www.muffindata.com,,Modern analytics for CPG brands,2
'Sal Calvo'],28048,Muffin Data,W23,Active,[],,http://www.muffindata.com,,Modern analytics for CPG brands,2
['Advith Chelikani',28069,Pylon,W23,Active,"['B2B', 'Customer Success', 'Sales', 'Customer Support']",San Francisco,https://www.usepylon.com/,https://www.linkedin.com/company/usepylon/,"Scale B2B Sales and Support on Slack, Teams, and Discord",3
'Robert Eng',28069,Pylon,W23,Active,"['B2B', 'Customer Success', 'Sales', 'Customer Support']",San Francisco,https://www.usepylon.com/,https://www.linkedin.com/company/usepylon/,"Scale B2B Sales and Support on Slack, Teams, and Discord",3
'Marty Kausas'],28069,Pylon,W23,Active,"['B2B', 'Customer Success', 'Sales', 'Customer Support']",San Francisco,https://www.usepylon.com/,https://www.linkedin.com/company/usepylon/,"Scale B2B Sales and Support on Slack, Teams, and Discord",3
['Jason Rudin'],28070,Clad,W23,Active,"['Marketplace', 'SaaS', 'Construction', 'B2B', 'Collaboration']",New York,https://withclad.com/,https://www.linkedin.com/company/withclad/,Software to build the internet faster.,1
['Namrata Anand'],28037,Diffuse Bio,W23,Active,"['AI-powered Drug Discovery', 'Deep Learning', 'Generative AI', 'Machine Learning', 'Biotech']",,http://diffuse.bio,,Generative AI for protein therapeutics,1
['Jacky Lai',28045,Peeba,W23,Active,"['Fintech', 'Marketplace', 'B2B', 'Retail']","Jakarta, Indonesia",http://peeba.com/,https://www.linkedin.com/company/peeba,Risk-free wholesale for retailers across Southeast Asia,2
'Kevin Cho'],28045,Peeba,W23,Active,"['Fintech', 'Marketplace', 'B2B', 'Retail']","Jakarta, Indonesia",http://peeba.com/,https://www.linkedin.com/company/peeba,Risk-free wholesale for retailers across Southeast Asia,2
