founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Eilam Levitov,26661,Stream,S22,Active,"['Fintech', 'SaaS', 'B2B', 'Insurance']",New York,http://www.stream.claims,https://www.linkedin.com/company/streamclaims/,Smart automation for insurance claims,2,False,False,True,eilam-levitov,https://www.linkedin.com/in/eilam-levitov,True,High,True,True
David Abusaid,26659,Weltio,S22,Active,"['Fintech', 'Crypto / Web3', 'Investing', 'Retail']","Mexico City, Mexico",https://www.weltio.com,https://www.linkedin.com/company/weltio/,First LatAm W3 WealthTech for AutoInvesting in securities & crypto,2,True,False,False,david-abusaid,https://www.linkedin.com/in/david-abusaid,True,High,True,True
George Marvin,26659,Weltio,S22,Active,"['Fintech', 'Crypto / Web3', 'Investing', 'Retail']","Mexico City, Mexico",https://www.weltio.com,https://www.linkedin.com/company/weltio/,First LatAm W3 WealthTech for AutoInvesting in securities & crypto,2,True,False,False,george-marvin,https://www.linkedin.com/in/george-marvin,True,High,True,True
Ehud Halberstam,26660,Chordio,S22,Active,"['SaaS', 'B2B']","Issaquah, WA",https://chordio.com,https://www.linkedin.com/company/chordio/,Planning software for remote product development teams,2,False,False,True,ehud-halberstam,https://www.linkedin.com/in/ehud-halberstam,True,High,True,True
Amit Bar,26660,Chordio,S22,Active,"['SaaS', 'B2B']","Issaquah, WA",https://chordio.com,https://www.linkedin.com/company/chordio/,Planning software for remote product development teams,2,False,False,True,amit-bar,https://www.linkedin.com/in/amit-bar,True,High,True,True
James Mcwalter,26662,Paces,S22,Active,"['Machine Learning', 'SaaS', 'Proptech', 'Climate', 'Energy']",New York,https://paces.com,https://www.linkedin.com/company/pacesai,Software identifying the best places for renewable projects.,2,True,False,True,james-mcwalter,https://www.linkedin.com/in/james-mcwalter,True,High,True,True
Charles Bai,26662,Paces,S22,Active,"['Machine Learning', 'SaaS', 'Proptech', 'Climate', 'Energy']",New York,https://paces.com,https://www.linkedin.com/company/pacesai,Software identifying the best places for renewable projects.,2,True,False,True,charles-bai,https://www.linkedin.com/in/charles-bai,True,High,True,True
Chetan Kulhari,26658,Magic,S22,Active,"['Fintech', 'Payments', 'E-commerce']",Palo Alto,https://www.joinmagic.co/,,"Seamless & secure pay-by-bank platform, built for B2C.",2,False,False,False,chetan-kulhari,https://www.linkedin.com/in/chetan-kulhari,False,Medium,True,False
Renasha Mishra,26658,Magic,S22,Active,"['Fintech', 'Payments', 'E-commerce']",Palo Alto,https://www.joinmagic.co/,,"Seamless & secure pay-by-bank platform, built for B2C.",2,False,False,False,renasha-mishra,https://www.linkedin.com/in/renasha-mishra,False,Medium,True,False
Michael Shi,26657,HyperDX,S22,Active,"['Developer Tools', 'SaaS', 'B2B']","Foster City, CA",https://hyperdx.io/,https://www.linkedin.com/company/hyperdx,"Debug anything from click to DB with logs, metrics, APM, and replays.",2,False,True,True,michael-shi,https://www.linkedin.com/in/michael-shi,True,High,True,True
Warren Lee,26657,HyperDX,S22,Active,"['Developer Tools', 'SaaS', 'B2B']","Foster City, CA",https://hyperdx.io/,https://www.linkedin.com/company/hyperdx,"Debug anything from click to DB with logs, metrics, APM, and replays.",2,False,True,True,warren-lee,https://www.linkedin.com/in/warren-lee,True,High,True,True
Joe Averbukh,26655,Instant,S22,Active,"['Developer Tools', 'API']",New York,https://instantdb.com,,The Modern Firebase,2,False,True,False,joe-averbukh,https://www.linkedin.com/in/joe-averbukh,False,Medium,True,True
Stepan Parunashvili,26655,Instant,S22,Active,"['Developer Tools', 'API']",New York,https://instantdb.com,,The Modern Firebase,2,False,True,False,stepan-parunashvili,https://www.linkedin.com/in/stepan-parunashvili,False,Medium,True,True
Fabien Devos,26654,Wolfia,S22,Active,"['Developer Tools', 'SaaS', 'B2B']",Mountain View,https://www.wolfia.com,https://www.linkedin.com/company/wolfia-app,Automate your mobile app releases without the hassle,2,False,True,True,fabien-devos,https://www.linkedin.com/in/fabien-devos,True,High,True,True
Naren Manoharan,26654,Wolfia,S22,Active,"['Developer Tools', 'SaaS', 'B2B']",Mountain View,https://www.wolfia.com,https://www.linkedin.com/company/wolfia-app,Automate your mobile app releases without the hassle,2,False,True,True,naren-manoharan,https://www.linkedin.com/in/naren-manoharan,True,High,True,True
Colin Snyder,26564,Banabo,S22,Active,"['SaaS', 'B2B', 'Analytics']",San Francisco,https://www.banabo.io/,,ML Marketing Infrastructure,1,False,False,True,colin-snyder,https://www.linkedin.com/in/colin-snyder,False,Medium,True,True
Hari Bhaskaran,26554,Cisterna Biologics,S22,Active,"['Synthetic Biology', 'Biotech', 'Therapeutics']","San Diego, CA",http://www.cisternabx.com,https://www.linkedin.com/company/cisterna-biologics/,High quality mRNA for therapeutic application,1,False,False,False,hari-bhaskaran,https://www.linkedin.com/in/hari-bhaskaran,True,High,True,False
Arnav Bathla,26505,Layerup,S22,Active,"['B2B', 'Healthcare', 'Insurance', 'AI']",San Francisco,https://www.uselayerup.com/,,Copilot for Insurance brokers,1,True,False,True,arnav-bathla,https://www.linkedin.com/in/arnav-bathla,False,Medium,True,True
Abhay Agarwal,26480,Poly,S22,Active,"['Artificial Intelligence', 'Generative AI', 'Consumer', 'Design Tools', 'API']",San Francisco,https://withpoly.com/,https://www.linkedin.com/company/withpoly/,Generate Design Assets in Seconds,2,True,False,False,abhay-agarwal,https://www.linkedin.com/in/abhay-agarwal,True,High,True,True
